class,bufferSize,P+K,idx,executions
producer3lock,100,10,3,64077
producer3lock,100,10,4,63939
producer3lock,100,10,5,62741
producer3lock,100,10,6,67997
producer3lock,100,10,7,65945
producer3lock,100,10,8,67202
producer3lock,100,10,9,61707
consumer3lock,100,10,0,63236
consumer3lock,100,10,1,67687
consumer3lock,100,10,2,61686
consumer3lock,100,10,3,63126
consumer3lock,100,10,4,63735
consumer3lock,100,10,5,67149
consumer3lock,100,10,6,62531
consumer3lock,100,10,7,66005
consumer3lock,100,10,8,67243
consumer3lock,100,10,9,61356
producer3lock,100,10,0,17053
producer3lock,100,10,1,53130
producer3lock,100,10,2,31613
producer3lock,100,10,3,42315
producer3lock,100,10,4,19397
producer3lock,100,10,5,49520
producer3lock,100,10,6,30889
producer3lock,100,10,7,47355
producer3lock,100,10,8,18679
producer3lock,100,10,9,45103
consumer3lock,100,10,0,16372
consumer3lock,100,10,1,74097
consumer3lock,100,10,2,17186
consumer3lock,100,10,3,34703
consumer3lock,100,10,4,17041
consumer3lock,100,10,5,67223
consumer3lock,100,10,6,17016
consumer3lock,100,10,7,30143
consumer3lock,100,10,8,18468
consumer3lock,100,10,9,62465
producer3lock,100,10,0,60893
producer3lock,100,10,1,63442
producer3lock,100,10,2,58334
producer3lock,100,10,3,67012
producer3lock,100,10,4,64469
producer3lock,100,10,5,67473
producer3lock,100,10,6,58083
producer3lock,100,10,7,66935
producer3lock,100,10,8,67088
producer3lock,100,10,9,68396
consumer3lock,100,10,0,64312
consumer3lock,100,10,1,70289
consumer3lock,100,10,2,54304
consumer3lock,100,10,3,66832
consumer3lock,100,10,4,64782
consumer3lock,100,10,5,66230
consumer3lock,100,10,6,63306
consumer3lock,100,10,7,62427
consumer3lock,100,10,8,63616
consumer3lock,100,10,9,66025
producer3lock,100,10,0,40131
producer3lock,100,10,1,47768
producer3lock,100,10,2,48531
producer3lock,100,10,3,50637
producer3lock,100,10,4,36545
producer3lock,100,10,5,47954
producer3lock,100,10,6,44682
producer3lock,100,10,7,51803
producer3lock,100,10,8,38970
producer3lock,100,10,9,49062
consumer3lock,100,10,0,37708
consumer3lock,100,10,1,58000
consumer3lock,100,10,2,44536
consumer3lock,100,10,3,40864
consumer3lock,100,10,4,41834
consumer3lock,100,10,5,57076
consumer3lock,100,10,6,42230
consumer3lock,100,10,7,40055
consumer3lock,100,10,8,36029
consumer3lock,100,10,9,57331
producer3lock,100,10,0,50042
producer3lock,100,10,1,43597
producer3lock,100,10,2,51036
producer3lock,100,10,3,61214
producer3lock,100,10,4,51748
producer3lock,100,10,5,43077
producer3lock,100,10,6,58864
producer3lock,100,10,7,60142
producer3lock,100,10,8,52111
producer3lock,100,10,9,46302
consumer3lock,100,10,0,41701
consumer3lock,100,10,1,63750
consumer3lock,100,10,2,46292
consumer3lock,100,10,3,57119
consumer3lock,100,10,4,44017
consumer3lock,100,10,5,60440
consumer3lock,100,10,6,45072
consumer3lock,100,10,7,54253
consumer3lock,100,10,8,42850
consumer3lock,100,10,9,62203
producer3lock,100,10,0,43608
producer3lock,100,10,1,28124
producer3lock,100,10,2,48192
producer3lock,100,10,3,14345
producer3lock,100,10,4,48227
producer3lock,100,10,5,28629
producer3lock,100,10,6,48461
producer3lock,100,10,7,16504
producer3lock,100,10,8,38125
producer3lock,100,10,9,27505
consumer3lock,100,10,0,63557
consumer3lock,100,10,1,14416
consumer3lock,100,10,2,30406
consumer3lock,100,10,3,14256
consumer3lock,100,10,4,72051
consumer3lock,100,10,5,11651
consumer3lock,100,10,6,32334
consumer3lock,100,10,7,13964
consumer3lock,100,10,8,73365
consumer3lock,100,10,9,15541
