function,bufferSize,PKNumber,chunkSize,genName,time
4cond_producer,20,10,9,standard,512900.0
4cond_consumer,20,10,10,standard,320955.0
4cond_producer,20,10,10,standard,430857.0
4cond_consumer,20,10,11,standard,227025.0
4cond_producer,20,10,11,standard,295546.0
4cond_consumer,20,10,12,standard,380513.0
4cond_producer,20,10,12,standard,250199.0
4cond_consumer,20,10,13,standard,318501.0
4cond_producer,20,10,13,standard,198468.0
4cond_consumer,20,10,14,standard,253885.0
4cond_producer,20,10,14,standard,466755.0
4cond_consumer,20,10,15,standard,349866.0
4cond_producer,20,10,15,standard,364595.0
4cond_consumer,20,10,16,standard,182844.0
4cond_producer,20,10,16,standard,283332.0
4cond_consumer,20,10,17,standard,334795.0
4cond_producer,20,10,17,standard,202800.0
4cond_consumer,20,10,18,standard,330516.0
4cond_producer,20,10,18,standard,457683.0
4cond_consumer,20,10,19,standard,345048.0
4cond_producer,20,10,19,standard,478972.0
3lock_consumer,200,100,1,standard,710713.0
3lock_producer,200,100,1,standard,736037.0
3lock_consumer,200,100,2,standard,816940.0
3lock_producer,200,100,2,standard,752006.0
3lock_consumer,200,100,3,standard,780696.0
3lock_producer,200,100,3,standard,782917.0
3lock_consumer,200,100,4,standard,746855.0
3lock_producer,200,100,4,standard,746983.0
3lock_consumer,200,100,5,standard,772922.0
3lock_producer,200,100,5,standard,800384.0
3lock_consumer,200,100,6,standard,786942.0
3lock_producer,200,100,6,standard,706898.0
3lock_consumer,200,100,7,standard,729568.0
3lock_producer,200,100,7,standard,720245.0
3lock_consumer,200,100,8,standard,787888.0
3lock_producer,200,100,8,standard,726237.0
3lock_consumer,200,100,9,standard,707531.0
3lock_producer,200,100,9,standard,724873.0
3lock_consumer,200,100,10,standard,778526.0
3lock_producer,200,100,10,standard,773747.0
3lock_consumer,200,100,11,standard,748841.0
3lock_producer,200,100,11,standard,797389.0
3lock_consumer,200,100,12,standard,791010.0
3lock_producer,200,100,12,standard,814020.0
3lock_consumer,200,100,13,standard,812585.0
3lock_producer,200,100,13,standard,709369.0
3lock_consumer,200,100,14,standard,781066.0
3lock_producer,200,100,14,standard,750409.0
3lock_consumer,200,100,15,standard,769232.0
3lock_producer,200,100,15,standard,767647.0
3lock_consumer,200,100,16,standard,792530.0
3lock_producer,200,100,16,standard,725196.0
3lock_consumer,200,100,17,standard,776888.0
3lock_producer,200,100,17,standard,770615.0
3lock_consumer,200,100,18,standard,772328.0
3lock_producer,200,100,18,standard,767824.0
